number,surah_id,no_ayah,page_id,x,y
795,6,6,128,348,539
796,6,7,128,156,578
797,6,8,128,58,617
798,6,9,129,345,106
799,6,10,129,118,145
800,6,11,129,396,223
801,6,12,129,99,303
802,6,13,129,82,342
803,6,14,129,236,460
804,6,15,129,260,500
805,6,16,129,270,540
806,6,17,129,399,617
807,6,18,129,61,618
808,6,19,130,397,182
809,6,20,130,206,225
810,6,21,130,136,262
811,6,22,130,59,303
812,6,23,130,59,342
813,6,24,130,60,380
814,6,25,130,346,537
815,6,26,130,261,577
816,6,27,130,62,617
817,6,28,131,304,104
818,6,29,131,328,145
819,6,30,131,399,225
820,6,31,131,205,303
821,6,32,131,398,382
822,6,33,131,158,421
823,6,34,131,397,539
824,6,35,131,57,619
825,6,36,132,342,104
826,6,37,132,83,141
827,6,38,132,62,221
828,6,39,132,85,300
829,6,40,132,230,379
830,6,41,132,140,417
831,6,42,132,327,497
832,6,43,132,93,535
833,6,44,132,57,614
834,6,45,133,60,65
835,6,46,133,272,185
836,6,47,133,82,223
837,6,48,133,200,301
838,6,49,133,181,342
839,6,50,133,310,459
840,6,51,133,398,539
841,6,52,133,58,617
842,6,53,134,88,104
843,6,54,134,60,223
844,6,55,134,397,298
845,6,56,134,398,379
846,6,57,134,303,458
847,6,58,134,133,498
848,6,59,134,57,616
849,6,60,135,233,144
850,6,61,135,250,222
851,6,62,135,186,262
852,6,63,135,243,340
853,6,64,135,306,379
854,6,65,135,100,459
855,6,66,135,113,498
856,6,67,135,252,538
857,6,68,135,60,617
858,6,69,136,243,104
859,6,70,136,175,300
860,6,71,136,82,459
861,6,72,136,90,497
862,6,73,136,59,614
863,6,74,137,214,104
864,6,75,137,399,183
865,6,76,137,248,223
866,6,77,137,335,301
867,6,78,137,397,380
868,6,79,137,186,419
869,6,80,137,311,538
870,6,81,137,58,615
871,6,82,138,303,106
872,6,83,138,59,145
873,6,84,138,58,263
874,6,85,138,396,341
875,6,86,138,347,381
876,6,87,138,203,421
877,6,88,138,341,500
878,6,89,138,321,578
879,6,90,138,61,617
880,6,91,139,345,219
881,6,92,139,145,299
882,6,93,139,155,495
883,6,94,139,60,613
884,6,95,140,152,104
885,6,96,140,309,184
886,6,97,140,395,261
887,6,98,140,178,301
888,6,99,140,275,499
889,6,100,140,398,576
890,6,101,140,58,616
891,6,102,141,217,105
892,6,103,141,150,145
893,6,104,141,224,222
894,6,105,141,102,262
895,6,106,141,398,341
896,6,107,141,234,381
897,6,108,141,397,498
898,6,109,141,313,576
899,6,110,141,59,615
900,6,111,142,238,142
901,6,112,142,342,260
902,6,113,142,159,299
903,6,114,142,183,418
904,6,115,142,396,496
905,6,116,142,133,535
906,6,117,142,98,576
907,6,118,142,60,615
908,6,119,143,397,185
909,6,120,143,181,224
910,6,121,143,396,340
911,6,122,143,170,421
912,6,123,143,142,500
913,6,124,143,59,617
914,6,125,144,313,182
915,6,126,144,210,223
916,6,127,144,150,264
917,6,128,144,154,421
918,6,129,144,61,459
919,6,130,144,61,616
920,6,131,145,329,107
921,6,132,145,248,147
922,6,133,145,61,224
923,6,134,145,121,264
924,6,135,145,62,340
925,6,136,145,109,500
926,6,137,145,59,617
927,6,138,146,329,183
928,6,139,146,355,301
929,6,140,146,234,381
930,6,141,146,151,538
931,6,142,146,59,614
932,6,143,147,60,141
933,6,144,147,131,338
934,6,145,147,237,496
935,6,146,147,62,613
936,6,147,148,219,101
937,6,148,148,206,259
938,6,149,148,207,298
939,6,150,148,89,414
940,6,151,148,60,610
941,6,152,149,59,184
942,6,153,149,348,303
943,6,154,149,312,382
944,6,155,149,237,421
945,6,156,149,398,498
946,6,157,149,59,616
947,6,158,150,317,181
948,6,159,150,396,260
949,6,160,150,169,299
950,6,161,150,316,379
951,6,162,150,321,418
952,6,163,150,396,456
953,6,164,150,175,536
954,6,165,150,60,613
955,7,1,151,351,146
956,7,2,151,187,185
957,7,3,151,397,264
958,7,4,151,347,302
959,7,5,151,289,344
960,7,6,151,328,384
961,7,7,151,58,382
962,7,8,151,322,461
963,7,9,151,164,500
964,7,10,151,395,580
965,7,11,151,60,617
966,7,12,152,292,106
967,7,13,152,224,146
968,7,14,152,397,185
969,7,15,152,254,186
970,7,16,152,281,225
971,7,17,152,84,265
972,7,18,152,351,342
973,7,19,152,111,383
974,7,20,152,278,500
975,7,21,152,58,500
976,7,22,152,62,617
977,7,23,153,309,107
978,7,24,153,190,146
979,7,25,153,229,183
980,7,26,153,193,263
981,7,27,153,398,419
982,7,28,153,397,498
983,7,29,153,62,539
984,7,30,153,60,620
985,7,31,154,195,103
986,7,32,154,314,219
987,7,33,154,136,300
988,7,34,154,397,378
989,7,35,154,129,417
990,7,36,154,340,496
991,7,37,154,57,613
992,7,38,155,396,223
993,7,39,155,127,263
994,7,40,155,293,380
995,7,41,155,254,420
996,7,42,155,297,500
997,7,43,155,59,617
998,7,44,156,164,144
999,7,45,156,111,183
1000,7,46,156,59,262
1001,7,47,156,285,341
1002,7,48,156,60,379
1003,7,49,156,224,460
1004,7,50,156,221,537
1005,7,51,156,61,616
1006,7,52,157,300,100
1007,7,53,157,326,257
1008,7,54,157,61,375
1009,7,55,157,60,414
1010,7,56,157,174,493
1011,7,57,157,60,611
1012,7,58,158,59,104
1013,7,59,158,62,181
1014,7,60,158,121,221
1015,7,61,158,61,261
1016,7,62,158,312,339
1017,7,63,158,398,417
1018,7,64,158,106,458
1019,7,65,158,284,536
1020,7,66,158,57,575
1021,7,67,158,57,614
1022,7,68,159,127,64
1023,7,69,159,398,222
1024,7,70,159,60,262
1025,7,71,159,322,420
1026,7,72,159,396,499
1027,7,73,159,62,617
1028,7,74,160,257,184
1029,7,75,160,321,302
1030,7,76,160,237,341
1031,7,77,160,303,419
1032,7,78,160,338,457
1033,7,79,160,396,537
1034,7,80,160,217,576
1035,7,81,160,57,614
1036,7,82,161,140,108
1037,7,83,161,116,148
1038,7,84,161,398,226
1039,7,85,161,87,383
1040,7,86,161,250,539
1041,7,87,161,63,617
1042,7,88,162,329,145
1043,7,89,162,136,263
1044,7,90,162,395,340
1045,7,91,162,108,342
1046,7,92,162,313,420
1047,7,93,162,327,499
1048,7,94,162,135,537
1049,7,95,162,60,617
1050,7,96,163,306,144
1051,7,97,163,278,183
1052,7,98,163,203,223
1053,7,99,163,117,262
1054,7,100,163,397,378
1055,7,101,163,125,459
1056,7,102,163,61,498
1057,7,103,163,60,576
1058,7,104,163,63,616
1059,7,105,164,156,104
1060,7,106,164,104,143
1061,7,107,164,216,181
1062,7,108,164,338,221
1063,7,109,164,353,263
1064,7,110,164,398,299
1065,7,111,164,97,300
1066,7,112,164,263,340
1067,7,113,164,182,380
1068,7,114,164,300,418
1069,7,115,164,245,458
1070,7,116,164,61,497
1071,7,117,164,398,576
1072,7,118,164,106,575
1073,7,119,164,233,614
1074,7,120,164,61,616
1075,7,121,165,237,63
1076,7,122,165,87,64
1077,7,123,165,398,180
1078,7,124,165,344,221
1079,7,125,165,143,221
1080,7,126,165,289,299
1081,7,127,165,58,376
1082,7,128,165,59,456
1083,7,129,165,230,576
1084,7,130,165,61,612
1085,7,131,166,182,141
1086,7,132,166,108,180
1087,7,133,166,397,298
1088,7,134,166,210,377
1089,7,135,166,130,415
1090,7,136,166,346,495
1091,7,137,166,61,613
1092,7,138,167,155,144
1093,7,139,167,140,183
1094,7,140,167,132,223
1095,7,141,167,269,341
1096,7,142,167,271,459
1097,7,143,167,60,615
1098,7,144,168,139,103
1099,7,145,168,299,221
1100,7,146,168,218,380
1101,7,147,168,313,457
1102,7,148,168,62,535
1103,7,149,168,60,613
1104,7,150,169,335,222
1105,7,151,169,268,261
1106,7,152,169,325,340
1107,7,153,169,62,379
1108,7,154,169,159,459
1109,7,155,169,60,614
1110,7,156,170,155,181
1111,7,157,170,60,416
1112,7,158,170,94,574
1113,7,159,170,65,612
1114,7,160,171,61,260
1115,7,161,171,398,417
1116,7,162,171,317,496
1117,7,163,171,68,614
1118,7,164,172,61,102
1119,7,165,172,62,180
1120,7,166,172,61,221
1121,7,167,172,397,339
1122,7,168,172,331,417
1123,7,169,172,178,574
1124,7,170,172,60,614
1125,7,171,173,60,102
1126,7,172,173,181,222
1127,7,173,173,276,300
